id,viewCount,likeCount,commentCount,durationSeconds,durationMinutes,caption,concertType,artist,concertNumber,age,artistFollower,month,year,season
1tKE6A3uA64,345828,12694,637,1469,24.48,false,N,Adam Blackstone,1,784,4030,6,2023,summer
NIsUeV_zmA0,70085,808,40,1013,16.88,false,N,Adam Torres,1,3185,767,11,2016,autumn
r-gkSte4QdA,1118247,26198,1037,900,15,false,H,Adekunle Gold,1,1163,945000,6,2022,summer
XfzpYcwiUrA,41873837,444304,13353,875,14.58,false,N,Adele,1,5289,32600000,2,2011,winter
LaCjgtH4zac,182072,2489,199,661,11.02,false,N,Adia Victoria,1,3326,7990,6,2016,summer
-dW6ksJVWXY,38237,1321,84,950,15.83,false,H,Aditya Prakash Ensemble,1,1658,2560,1,2021,winter
TKcQyUszdhw,1595329,45203,1342,1030,17.17,false,H,Adrianne Lenker,1,1724,171000,11,2020,autumn
PF0yNKroigk,144467,2097,77,622,10.37,false,N,Afro Blue,1,4225,112000,1,2014,winter
PwEFg6xEVR8,278137,2624,144,912,15.2,false,N,Ages And Ages,1,4098,13100,5,2014,spring
MAqIrCjOxws,475607,12574,309,794,13.23,false,N,Agnes Obel,1,3089,447000,2,2017,winter
XgYT7zB3w5M,775539,10387,628,918,15.3,false,N,Aimee Mann,1,3007,34300,5,2017,spring
_Y-X9CpSiQ0,236781,7810,302,1693,28.22,false,N,Aja Monet,1,616,4580,12,2023,winter
mLeFgJ9JJHY,92297,2285,142,1078,17.97,true,H,Al Bilali Soudan,1,1287,10800,1,2022,winter
cMW779WaDXs,218042,4332,295,1117,18.62,false,N,Alana Springsteen,1,368,62000,8,2024,summer
kc2i9pwSSqE,515604,7165,285,782,13.03,false,N,Albin Lee Meldau,1,2926,28400,8,2017,summer
U6ToeaeuOQo,910967,16171,1038,789,13.15,false,N,Aldous Harding,1,2921,77300,8,2017,summer
XG_o-sGQ3xo,21375,979,15,806,13.43,false,N,Alec Ounsworth,1,5628,8030,3,2010,spring
YxUaLKJ_978,122625,1643,123,717,11.95,false,N,Alejandro Escovedo,1,2326,2490,3,2019,spring
bmWBDs-5z3c,53336,1071,29,730,12.17,false,N,Alessio Bax,1,3339,590,6,2016,summer
Y2N9R9CDEZk,299848,6165,259,1117,18.62,false,N,Alex Clare,1,2704,302000,3,2018,spring
A3ThZptD8WY,504433,11235,319,1087,18.12,true,N,Alex Cuba,1,674,98700,10,2023,autumn
qyPquozbCOQ,1429318,47733,1418,842,14.03,false,N,Alex G,1,975,360000,12,2022,winter
TIWWV4fLBjw,558849,30392,2209,1089,18.15,false,H,Alex Isley,1,1911,99100,5,2020,spring
DqgdNk9DCck,515129,29594,2801,1334,22.23,false,N,Alex Isley,2,46,1e+05,6,2025,summer
qOxCOMtJbC8,611093,14436,641,1125,18.75,false,N,Alfredo Rodríguez Trio,1,2480,52300,10,2018,autumn
5xNy40dQCNQ,113081,1791,92,829,13.82,false,N,Alice Russell,1,4407,15400,7,2013,summer
-XppUz4SkLk,491149,13799,575,1105,18.42,false,N,Alice Sara Ott,1,756,37100,7,2023,summer
-ZOW4CvYAZ4,349684,8998,521,879,14.65,false,N,Alice Smith,1,2739,21900,2,2018,winter
uwUt1fVLb3E,43588794,529321,15401,1667,27.78,false,N,Alicia Keys,1,1873,6970000,6,2020,summer
sN58k8tSFXg,532002,14179,557,1241,20.68,true,S,"Alisa Amador, 2022 Tiny Desk Contest Winner",1,1165,3990,5,2022,spring
kuiQ5tt0iI8,68920,699,56,961,16.02,false,N,Alisa Weilerstein,1,5440,1530,9,2010,autumn
uMEnML6sY5Q,1770227,43264,2220,1214,20.23,false,N,Allen Stone,1,1950,353000,4,2020,spring
5M9EJOTekxA,95697,1755,55,1067,17.78,false,N,Allison Miller's Boom Tic Boom,1,4807,1090,6,2012,summer
Ffs7szmBmCU,365787,9695,567,1369,22.82,false,N,Allison Russell,1,1059,24600,9,2022,autumn
ukz2JXvGR5w,206035,2820,115,1040,17.33,false,N,Alpine,1,4379,2560,8,2013,summer
daXGLo4aeFQ,234167,4276,188,683,11.38,false,N,Alsarah & The Nubatones,1,3157,3870,12,2016,winter
xKdp5uI8AC0,4850411,44658,1128,798,13.3,false,N,Alt-J,1,4617,1210000,12,2012,winter
RBRQ8vR93_s,660337,20427,822,763,12.72,false,N,Alvvays,1,602,134000,12,2023,winter
gGyP2VGUQMY,627955,31159,998,1312,21.87,false,N,Amaarae,1,778,423000,6,2023,summer
hcAKsXR51HQ,351597,7106,298,669,11.15,false,N,Amadou and Mariam,1,2751,110000,1,2018,winter
LRix5o2-fiU,157225,3686,163,1012,16.87,false,N,Amanda Palmer And The Grand Theft Orchestra,1,4685,155000,10,2012,autumn
ybBK0N0mCl4,236361,2265,115,716,11.93,false,N,Amanda Shires,1,5118,32900,8,2011,summer
1D-QXrC3U0I,650019,20001,619,997,16.62,false,H,Amber Mark,1,1285,257000,1,2022,winter
kjJnal0XtN8,302633,13576,686,1105,18.42,false,N,Ambré,1,780,45700,6,2023,summer
XjCGI4Sgb7k,898955,20704,784,1097,18.28,false,N,American Football,1,2216,42100,7,2019,summer
8PizSSUfetg,1062195,49765,7530,1101,18.35,false,N,Amerie,1,63,307000,6,2025,summer
l0MqlDbZ_as,8624105,171733,3881,759,12.65,false,N,Aminé,1,2817,1960000,11,2017,autumn
j0uhEHIU6Sk,156651,3012,340,1338,22.3,false,N,Among Authors,1,2184,393,8,2019,summer
DcnMDkX1PZg,239857,5167,212,781,13.02,false,N,Amy Grant,1,2426,247000,12,2018,winter
jsCO_M0Nnwk,192832,5304,223,595,9.92,false,N,Ana Tijoux,1,5457,120000,8,2010,summer
5G6q__7jQoU,881351,37279,1994,1238,20.63,true,N,Ana Tijoux,2,443,120000,5,2024,spring
Shr47LVcA5I,686021,7783,416,954,15.9,false,N,Anais Mitchell,1,4627,10700,12,2012,winter
vhfsae_nv-4,106017,4269,226,893,14.88,false,H,Anat Cohen and Marcello Gonçalves,1,1801,7020,9,2020,autumn
qM1Mtz35bmU,189039,2438,160,868,14.47,false,N,And The Kids,1,3692,644,6,2015,summer
ferZnZ0_rSM,117599141,1120684,26843,938,15.63,false,N,Anderson .Paak & The Free Nationals,1,3273,874000,8,2016,summer
W3MaEAhXESs,1241567,22815,786,799,13.32,false,N,Andra Day,1,3587,1e+06,10,2015,autumn
HN4Mk3LWWC4,114086,2042,114,911,15.18,false,N,Andrea Cruz,1,2319,2140,4,2019,spring
QGAzPtwUJJU,5688158,73673,2088,884,14.73,false,N,Andrew Bird,1,3356,111000,5,2016,spring
WVfbIWC7wmE,962899,24000,704,1017,16.95,false,N,Andrew Bird and Iron & Wine,1,1092,111000,8,2022,summer
JsaqhRkKu1M,111205,1674,67,964,16.07,false,N,Andrew Combs,1,878,465,3,2023,spring
6k7_B07IyCA,155550,2427,205,1252,20.87,false,S,Andrew W.K.,1,1994,101000,2,2020,winter
QcGs8rBynL0,1004468,22904,815,689,11.48,false,N,Andy Shauf,1,3367,12700,5,2016,spring
UaTONcmNotI,241845,3384,129,878,14.63,false,N,Ane Brun,1,3416,98000,4,2016,spring
G7NapIZ1xGE,2242643,28619,1280,1369,22.82,false,N,Angel Olsen,1,4211,84000,1,2014,winter
4RL4mk38wwI,397223,11685,351,967,16.12,false,H,Angel Olsen,2,1766,84200,10,2020,autumn
JQTM86SZW2g,245659,3797,209,737,12.28,false,N,Angelica Garcia,1,1935,5700,4,2020,spring
7rzGNL28Js0,331937,13295,601,1226,20.43,false,N,Angélique Kidjo,1,1061,232000,9,2022,autumn
T7xWl50pKyo,397051,6181,464,1183,19.72,false,N,Ani DiFranco,1,2823,20000,11,2017,autumn
iFS4_4Ji_-E,296880,7933,576,929,15.48,false,H,Ani DiFranco,2,1551,20300,5,2021,spring
JvIllmsp1J4,293893,6794,456,946,15.77,false,H,Animal Collective,1,1123,83800,7,2022,summer
mA3Qw3KiEtk,169832,3168,109,949,15.82,false,N,Anna & Elizabeth,1,3714,1900,6,2015,summer
6uMyPRYjIYw,125793,2344,136,920,15.33,false,H,Anna B Savage,1,1472,4110,7,2021,summer
EScw2XrUHFY,499047,4754,275,548,9.13,false,N,Anna Calvi,1,4937,33400,2,2012,winter
36FNJiP8GWk,261139,4823,399,1145,19.08,false,N,Anna Meredith,1,2709,6930,3,2018,spring
6bALUVyGZh0,169663,3349,197,1258,20.97,false,N,Anna Tivel,1,809,1780,5,2023,spring
bRq66Rtwms0,365897,12613,441,1131,18.85,false,N,Anne Akiko Meyers,1,701,1700,9,2023,autumn
RWQChDfEJpI,119162,1685,26,835,13.92,false,N,Anonymous 4 With Bruce Molsky,1,3784,6600,3,2015,spring
oi0uBhX9fxI,123942,2656,189,733,12.22,false,N,Another Sky,1,2004,5230,2,2020,winter
LiGTTICtewQ,180042,1791,44,760,12.67,false,N,Anthony D'Amato,1,3944,1160,10,2014,autumn
C3lcprigQ0E,18785345,205499,7952,1228,20.47,false,N,Anthony Hamilton,1,3420,889000,3,2016,spring
ZLqXimltxsg,104644,1519,176,1045,17.42,false,N,Anthony Roth Costanzo,1,2506,2960,9,2018,autumn
qX9WE9-Pt2U,84715,1824,154,859,14.32,false,H,Anthony Roth Costanzo and Justin Vivian Bond,1,1270,2980,2,2022,winter
IIlgjOCxhLQ,187644,2303,103,887,14.78,false,N,Antibalas,1,4679,4590,10,2012,autumn
3WocuIycshM,166282,5625,140,1076,17.93,false,N,Antonio Lizana,1,3017,3190,5,2017,spring
Qafq8drD_L4,188408,4428,209,1557,25.95,true,N,Antonio Sánchez & Bad Hombre,1,890,40700,3,2023,spring
HJDx_8PIqxk,136774,3038,157,1083,18.05,false,H,Aoife O'Donovan,1,1187,15800,5,2022,spring
7c_KKh1rmso,51524,573,20,959,15.98,false,N,Arborea,1,4827,593,5,2012,spring
D7Ti9DRLZEU,5607151,115349,4535,900,15,false,N,Ari Lennox,1,2137,719000,10,2019,autumn
wdYEZGchdiA,366338,16301,421,1007,16.78,false,H,Arlo Parks,1,1788,99200,9,2020,autumn
1acyepjN0OE,513234,14430,414,1115,18.58,false,N,Arlo Parks,2,646,98800,11,2023,autumn
ZUYJ8_tBSSQ,796255,24002,799,1334,22.23,false,H,Arooj Aftab,1,1339,101000,12,2021,winter
z6QNNxCf-3s,215862,4679,163,1034,17.23,false,N,"Arooj Aftab, Vijay Iyer, Shahzad Ismaily",1,819,105240,5,2023,spring
4iEgxnmXkUU,191048,3437,214,774,12.9,false,N,Arthur Moon,1,1960,933,3,2020,spring
Kf_Lolpumi4,211382,2110,136,997,16.62,false,N,Artist not Found!,1,5898,3140,6,2009,summer
6PNFkWfZDR8,113432,784,50,1027,17.12,false,N,Artist not Found!,1,5268,813,3,2011,spring
rsMLQVRS3ho,295874,3795,139,802,13.37,false,N,Artist not Found!,1,5037,1280,10,2011,autumn
5uRrc0s66M0,34915,469,15,16,0.27,false,S,Artist not Found!,1,3902,1,12,2014,winter
agn1WrDnHfA,27104,758,13,48,0.8,false,N,Artist not Found!,1,3874,1,12,2014,winter
ViFCeXpe9jY,16331,1215,9,40,0.67,false,N,Artist not Found!,1,3866,1,1,2015,winter
laqIQ-GTUWM,33613,264,20,62,1.03,false,N,Artist not Found!,1,3859,684,1,2015,winter
74MthcBUulI,19527,202,12,61,1.02,false,N,Artist not Found!,1,3858,1,1,2015,winter
osf1gckzf70,1389173,38024,748,1019,16.98,false,N,Artist not Found!,1,3556,1430,11,2015,autumn
20XhDSMmalA,209570,3520,141,843,14.05,false,N,Artist not Found!,1,3546,12700,11,2015,autumn
Jasbbgybmr4,61155,3906,256,230,3.83,false,N,Artist not Found!,1,1056,1,9,2022,autumn
IunIKcpqFP4,23993,622,14,43,0.72,false,N,Artist not Found!,1,31,1,7,2025,summer
UhMRD7lw5zs,87472,1619,23,1241,20.68,false,N,Arturo O'Farrill,1,4343,3460,9,2013,autumn
JRVDNBCdMFM,359404,5652,197,787,13.12,false,N,Asaf Avidan,1,4175,319000,3,2014,spring
1sddHHMsGTE,47582,1185,109,1140,19,false,H,Ashley McBryde,1,1912,256000,5,2020,spring
xoMzPhYYIsM,151128,2398,80,820,13.67,false,N,Ashley Monroe,1,4293,43300,11,2013,autumn
ujDMZENuwwE,44874,720,55,783,13.05,false,H,Ashley Ray,1,1701,347,12,2020,winter
CXgO7xI7ElQ,81759,1055,49,1063,17.72,false,N,Attacca Quartet,1,3178,4870,11,2016,autumn
U0vBoAbZZy0,517948,18437,708,1121,18.68,false,N,Audrey Nuna,1,294,245000,10,2024,autumn
y5p8Bmv0NSQ,5073071,69250,3796,2213,36.88,false,N,"August Greene (Common, Robert Glasper, Karriem Riggins)",1,2718,760730,2,2018,winter
UGjWvL92_1s,161565,3933,221,828,13.8,false,N,Augustin Hadelich,1,1908,114000,5,2020,spring
iNqkT54EDBM,268147,4827,386,1115,18.58,false,N,Aurelio Martinez,1,3804,4810,3,2015,spring
evBgLWQwAFA,8625133,207165,6859,801,13.35,false,N,Aurora,1,3560,6190000,11,2015,autumn
_1gUaOyE2dA,72899,1272,53,1031,17.18,false,S,Australian Chamber Orchestra,1,1959,10700,3,2020,spring
xNEhfztkCdc,781001,23494,817,1029,17.15,false,N,Avery*Sunshine,1,3014,33100,5,2017,spring
S19Q4e4Q4Kk,155912,1762,74,665,11.08,false,N,Avi Avital,1,4685,14200,10,2012,autumn
Ap4DtvUu7Bk,4198023,83221,2024,1289,21.48,false,N,BADBADNOTGOOD,1,3112,197000,1,2017,winter
Uz5Kgcjiasc,97278,6262,235,691,11.52,false,H,BEAM,1,1869,8490000,6,2020,summer
omjtMhXWobw,950020,28044,1331,1036,17.27,false,N,BJ The Chicago Kid,1,2095,154000,11,2019,autumn
_pvzTlmSK0s,324748,8645,354,1104,18.4,false,N,BLK ODYSSY,1,561,18100,1,2024,winter
gFYAXsa7pe8,65631237,2817527,181815,847,14.12,true,H,BTS,1,1782,8.1e+07,9,2020,autumn
5iFfh0H9iUM,339457,11115,806,1093,18.22,false,N,Baby Rose,1,1999,29200,2,2020,winter
zdD3UsAemq0,79678,3441,266,704,11.73,false,H,Baby Rose,2,1885,29500,6,2020,summer
3eHc0Xz_Hio,9296284,200769,15227,1783,29.72,false,N,Babyface,1,791,496000,6,2023,summer
ouuPSxE1hK4,14671499,541183,21531,2022,33.7,true,N,Bad Bunny,1,123,50300000,4,2025,spring
QtiTfejYpgs,648424,16843,433,1039,17.32,false,N,Ballake Sissoko And Vincent Segal,1,5316,6509,1,2011,winter
YZ2iWUyT_DI,148145,2499,281,984,16.4,false,N,Balún,1,2041,30800,1,2020,winter
AbwPwWqA-QQ,2430568,33911,1394,821,13.68,false,N,Banks,1,3930,496000,11,2014,autumn
jKkb2q9EbSg,137275,3643,146,1007,16.78,false,N,Barbara Hannigan,1,2744,4310,2,2018,winter
P6H3jeut9jw,59711,962,36,778,12.97,false,N,Barry Douglas,1,3353,416,6,2016,summer
8xoYo-rU_Xs,156462,3962,161,874,14.57,false,H,Bartees Strange,1,1628,5760,2,2021,winter
DvxN2LXqPfc,124375,4223,193,1111,18.52,false,N,Bartees Strange,2,171,5720,2,2025,winter
m0bOq-sm-m8,1131599,29070,1268,850,14.17,false,N,Bas,1,2193,471000,8,2019,summer
wh-FnjWFTJQ,75936,1551,92,912,15.2,false,S,Basia Bulat,1,1790,3390,9,2020,autumn
gkYnVE5jsAo,315823,5246,322,1161,19.35,false,N,Baths,1,4356,10600,9,2013,autumn
QNtlNvR-5_o,356925,11606,606,1246,20.77,false,N,Be More Chill,1,2223,33200,7,2019,summer
FA1TsteS7z0,205045,1757,136,839,13.98,false,N,Beach Slang,1,3773,1540,4,2015,spring
Q-AJMUh2_Ug,87595,885,113,908,15.13,false,N,Beauty Pill,1,3577,586,10,2015,autumn
uEK-6cHmmZI,246782,7526,538,798,13.3,false,H,Bebel Gilberto,1,1758,15200,10,2020,autumn
V7swrM4dfuo,51065,2517,140,959,15.98,false,H,Becca Mancari,1,1823,2520,8,2020,summer
FftvVi42U4o,2092335,46815,1763,1262,21.03,true,N,Becky G,1,665,22300000,10,2023,autumn
XoRFGTt9B20,84032,2128,82,942,15.7,true,H,Bedouin Burger,1,1289,22000,1,2022,winter
DDu4jk2_R_k,222567,5934,218,726,12.1,false,N,Bedouine,1,2650,7500,5,2018,spring
Uap53lFWEJw,789626,40708,3611,1029,17.15,false,N,Beenie Man,1,49,273000,6,2025,summer
Z0UISCEe52Y,4130864,39707,1158,708,11.8,false,N,Beirut,1,5069,125000,9,2011,autumn
BfNlkqX7hlc,215947,3566,170,1255,20.92,false,N,Bela Fleck And Abigail Washburn,1,2639,2030,5,2018,spring
X7Z0QEVfR8c,227834,6338,260,871,14.52,false,S,"Bela Fleck, Edgar Meyer, Zakir Hussain",1,1846,5090,7,2020,summer
NWEqYj3OOoo,473765,9902,415,1046,17.43,false,N,Belle and Sebastian,1,1127,63500,7,2022,summer
6e3bV26nRF0,112492,2996,156,592,9.87,false,N,Bellows,1,3742,1,5,2015,spring
VNMms_zGbnI,1882851,21060,844,1382,23.03,false,N,Ben Folds,1,3461,89500,2,2016,winter
wMj-Ai9NOjY,588914,4870,253,748,12.47,false,N,Ben Gibbard,1,4638,2500,11,2012,autumn
HXGyYeG4eRc,116528,2814,149,749,12.48,false,H,Ben Gibbard,2,1952,302000,4,2020,spring
5VHlrsZbgBI,1330020,28743,1437,1113,18.55,false,H,Ben Howard,1,1460,451000,8,2021,summer
xf29sAchQAw,199080,2186,83,794,13.23,false,N,Ben Sollee,1,5135,3340,7,2011,summer
I48camns7KY,298255,8396,338,708,11.8,false,N,Benjamin Booker,1,2814,13600,11,2017,autumn
00yQGeJ6AOM,2636442,60612,2407,1109,18.48,false,N,Benjamin Clementine,1,3399,179000,4,2016,spring
3sjttfJagIs,43599,492,34,1212,20.2,false,N,Benjy Ferree,1,5905,166,6,2009,summer
9jVn_JCjpT4,247459,4745,145,485,8.08,false,N,Benny Sings,1,3493,25000,1,2016,winter
m4vnYGgoYBQ,334105,14043,410,667,11.12,false,H,Benny Sings,2,1851,25200,7,2020,summer
rbEmFl1CN5U,314122,17261,1044,821,13.68,false,H,Benny The Butcher,1,1876,444000,6,2020,summer
h2YdwoZpVgE,164401,5732,257,1118,18.63,false,N,Berhana,1,541,37000,2,2024,winter
UPQsEoYHekg,125508,2270,133,1436,23.93,false,N,Bernie And The Believers Feat. Essence,1,2454,65,11,2018,autumn
G_-DftINZKg,340844,13094,619,1199,19.98,false,N,Beth Gibbons,1,88,31100,5,2025,spring
hZ2lMzQf19U,160643,1567,108,995,16.58,false,N,Beth Orton,1,4686,15700,10,2012,autumn
W8SnRPbiGH8,267133,10673,898,839,13.98,false,N,Betsayda Machado y Parranda El Clavo,1,2723,751,2,2018,winter
j1Yz-NyLV90,1046831,20670,743,696,11.6,false,N,Better Oblivion Community Center,1,2292,532,4,2019,spring
3AaXv14akQc,532100,10954,511,1161,19.35,false,N,Betty Who,1,2228,135000,7,2019,summer
k4YOIEg7U-c,57340,3239,95,1092,18.2,false,S,Bettye Lavette,1,1895,7200,5,2020,spring
BdmgKq4Mw48,3397180,52629,1918,775,12.92,false,N,Big Boi,1,2489,233000,10,2018,autumn
p8Uw1cl4xjg,5652748,98904,5396,1143,19.05,false,N,Big Daddy Kane,1,2720,45400,2,2018,winter
_8xj2qp6yls,1621212,41841,2313,979,16.32,false,N,Big K.R.I.T.,1,2706,404000,3,2018,spring
tPgSPOykA0M,2755337,97441,7219,1543,25.72,false,N,Big Sean,1,499,4470000,3,2024,spring
D0E5vMkDfOI,4610261,56498,1843,564,9.4,false,N,Big Thief,1,3258,110000,9,2016,autumn
TCsFgJsJ5Uc,900964,19598,583,1088,18.13,false,H,Big Thief,2,1115,115000,7,2022,summer
pePbXflDyRM,603324,24368,2834,1221,20.35,false,N,Bilal,1,199,16700,1,2025,winter
MHVNUrcyJy8,800753,7500,402,979,16.32,false,N,Bill Callahan,1,5863,10900,7,2009,summer
9EBGxX5je0E,225652,5562,227,1123,18.72,false,H,Bill Callahan,2,1794,11100,9,2020,autumn
NO-1Euq2RBk,907657,12657,693,1200,20,false,N,Bill Frisell,1,4933,23500,2,2012,winter
Tu_PRf1tyjI,140588,3214,289,744,12.4,false,N,Bill Orcutt Guitar Quartet,1,835,528,4,2023,spring
4sZ2_aGsLKU,16922471,480786,13487,602,10.03,false,H,Billie Eilish,1,1808,56300000,8,2020,summer
fOAIrUZbOwo,23718688,710782,17374,1339,22.32,false,N,Billie Eilish,2,239,5.6e+07,12,2024,winter
q2OnQR6VMwU,366630,3519,251,1283,21.38,false,N,Billy Bragg,1,4434,37400,6,2013,summer
oE9T-ubu45Y,118630,1195,58,782,13.03,false,N,Billy Bragg & Joe Henry,1,3210,38930,10,2016,autumn
oaSN_bHjyIw,2245810,41399,2063,732,12.2,false,N,Billy Corgan,1,2811,120000,11,2017,autumn
n_4EMO8e-1Y,135625,1505,60,1169,19.48,false,N,Bio Ritmo,1,3966,19800,9,2014,autumn
npORmybcPdk,1081662,30351,1626,1192,19.87,false,H,Black Coffee,1,1611,310000,3,2021,spring
86N4lNuVz_8,331408,2735,180,1086,18.1,false,N,Black Dub,1,5387,383,11,2010,autumn
plMNAPdAyPY,517133,21079,1660,1295,21.58,false,H,Black Motion,1,1492,75800,7,2021,summer
0mzjL5147i4,86646,1106,67,690,11.5,false,N,Black Prairie,1,4586,234,1,2013,winter
TKfRm6uNx7I,7893817,99425,2285,1383,23.05,false,H,Black Pumas,1,1705,889000,12,2020,winter
u12r_JI8mGM,693713,31281,2183,1034,17.23,false,H,Black Thought of The Roots,1,1947,1,4,2020,spring
Qd2Zcj1flw8,381821,8437,427,946,15.77,false,N,Black Uhuru,1,2072,37500,12,2019,winter
QCtkkX2f18M,1485209,26112,709,911,15.18,false,N,Bleachers,1,2880,231000,9,2017,autumn
vvgTV5NEpu4,426313,9627,341,761,12.68,false,H,Bleachers,2,1488,232000,7,2021,summer
xIZR52eKgUA,277205,3618,149,1045,17.42,false,N,Blind Pilot,1,3206,10700,10,2016,autumn
_p8T7JT8LK0,603485,28479,1590,1035,17.25,false,N,Bloc Party,1,24,91600,7,2025,summer
0wZpheK98Gc,1046838,31658,960,1191,19.85,false,N,Blood Orange,1,2377,149000,2,2019,winter
qTJfITfbYNA,11816011,163656,4640,796,13.27,false,N,Blue Man Group,1,3231,985000,10,2016,autumn
MMS4JAy9z0Y,668375,24420,1462,1288,21.47,false,N,Bob James,1,438,111000,5,2024,spring
JROLUd6uRhA,241158,3180,216,844,14.07,false,N,Bob Mould,1,4015,11500,8,2014,summer
4l_gUwdPrNY,1132808,18656,1434,1573,26.22,false,N,Bob Weir And Wolf Bros,1,1978,6900,3,2020,spring
QiR3qnG4Bf0,100411,1301,60,827,13.78,false,N,Bobby Bare Jr.,1,3846,197,1,2015,winter
3oY-GQVzAX8,2848390,31508,1228,555,9.25,false,N,Bomba Estereo,1,2870,1980000,9,2017,autumn
A7My5IpEzVM,531384,6016,205,833,13.88,false,N,Bombino,1,4351,60400,9,2013,autumn
oxo-loXdcH0,6629854,119325,6124,1272,21.2,false,N,Bono and The Edge,1,875,11300,3,2023,spring
gQ6maLl5pQA,728310,17983,583,1062,17.7,false,H,Bonobo,1,1242,321000,3,2022,spring
rh9KDzNkpSI,3251495,55562,1958,1073,17.88,false,N,Booker T. Jones,1,5212,702,5,2011,spring
8UdN8uWJRqM,51648,1992,71,1517,25.28,false,H,Borromeo String Quartet,1,1697,285,12,2020,winter
dSAKavA0fbw,100548,1289,59,922,15.37,false,S,Bowerbirds,1,1966,1340,3,2020,spring
lW2cUz9Gz94,351500,13088,607,1210,20.17,false,N,Brandee Younger,1,772,6860,6,2023,summer
_ajWFc2VqWo,1789598,18537,673,792,13.2,false,N,Brandi Carlile,1,4774,354000,7,2012,summer
2BZSvAsmMXg,122883,1857,78,753,12.55,false,N,Brandy Clark,1,3336,37900,6,2016,summer
SWZ40I40qFo,91956,2219,157,1000,16.67,false,H,Brandy Clark,2,1779,38100,9,2020,autumn
e8IyZHwtsc0,60151,598,22,1063,17.72,false,N,Brass Bed,1,4183,1,2,2014,winter
BUWpIou5yO0,141496,6094,297,1242,20.7,false,H,Braxton Cook,1,1918,15900,5,2020,spring
l7OtKIZE7tE,422800,11781,362,1469,24.48,false,N,Braxton Cook,2,186,15800,2,2025,winter
wuOJF8ecoY8,327710,4319,221,1073,17.88,false,N,Brent Cobb,1,3118,42400,1,2017,winter
LpMlfxA9kco,83153,1965,132,865,14.42,false,N,Brian Courtney Wilson,1,5461,125000,8,2010,summer
xaiCqYODMJM,133027,6336,274,808,13.47,false,N,Bridget Kibbey,1,2032,1960,1,2020,winter
HJvIQv9xZqg,311859,6934,435,1108,18.47,false,H,Bright Eyes,1,1775,56900,9,2020,autumn
E4hevWAjUZI,82627,2218,146,1097,18.28,false,H,Brittany Davis,1,1213,2660,4,2022,spring
XyW5Zz0w1zg,2148349,62909,2398,919,15.32,false,N,Brittany Howard,1,2116,127000,10,2019,autumn
Ov882wRp12Y,203882,6561,406,1072,17.87,false,N,Brittney Spencer,1,413,7380,6,2024,summer
bWrVuKWs5Nw,92270,866,43,1104,18.4,false,N,Brooklyn Rider,1,5628,1460,3,2010,spring
YN3SNoTrLY4,400060,6496,278,1119,18.65,false,H,Brothers Osborne,1,1535,314000,5,2021,spring
2DyEjfb5hrA,119155,2030,78,896,14.93,false,N,Brownout,1,2030,582,1,2020,winter
rFtP7Xc_Fbo,7684916,194584,7200,688,11.47,false,N,Brushy One String,1,3450,391,2,2016,winter
GbADcl9ljwE,31852,3518,39,1140,19,false,H,Buck Curran,1,1925,600,5,2020,spring
bOf3tD0sMxQ,122111,3125,168,901,15.02,false,H,Buck Meek,1,1597,3090,3,2021,spring
UU5a8xIiuWc,1401779,33072,1339,711,11.85,false,N,Buddy,1,2396,2e+05,1,2019,winter
ggIwlQ5u0a4,116156,1094,70,818,13.63,false,N,Buddy Miller & Jim Lauderdale,1,4468,3470,5,2013,spring
vNi82rhiIiE,105879,3905,211,714,11.9,false,H,Buddy and Kent Jamz,1,1904,201000,5,2020,spring
FrXXLcx4dCw,144550,4131,200,757,12.62,false,H,Buffalo Nichols,1,1263,91200,2,2022,winter
MAisFnH3Vro,88104,2481,230,918,15.3,false,H,Buffy Sainte-Marie,1,1184,9850,5,2022,spring
-qryg2q3lUs,592241,11516,535,576,9.6,false,N,Buika,1,4365,156000,8,2013,summer
-wQv60dxAUU,214724,2688,250,1009,16.82,false,N,Buke And Gass,1,5313,1,1,2011,winter
xaaYgVRZTnE,12816464,179722,7146,885,14.75,false,N,Burna Boy,1,2083,5410000,11,2019,autumn
tthPY0gAGeU,61701,3648,133,805,13.42,false,H,Burt Bacharach & Daniel Tashian,1,1800,4870,9,2020,autumn
zvDmr_REr5w,149279,5572,208,795,13.25,false,H,Buscabulla,1,1816,43800,8,2020,summer
ZfqmSZ-6Cgo,662692,23240,655,1009,16.82,false,H,Butcher Brown,1,1570,22100,4,2021,spring
K8gnt2Zc9aI,220062,5901,263,1125,18.75,false,N,Butcher Brown,2,520,21700,3,2024,spring
cRUvdNsOdVY,61148,1635,103,930,15.5,false,H,Buzzy Lee,1,1528,8280,6,2021,summer
SW6L_lTrIFg,70088405,617042,19372,931,15.52,true,H,C. Tangana,1,1571,2380000,4,2021,spring
tOXCEV4V8Ks,321194,2740,183,797,13.28,false,N,CALLmeKAT,1,5093,285,8,2011,summer
DN1Y-tbCHvA,82712,1766,102,1049,17.48,false,H,CARM,1,1576,906000,4,2021,spring
2JbCDE6PHvU,605977,16095,1117,655,10.92,false,N,CHAI,1,2102,87600,11,2019,autumn
9kqnsoY94L8,40194509,644057,34951,1048,17.47,true,N,Ca7riel & Paco Amoroso,1,308,636000,10,2024,autumn
